,sp_id,rp_id,seeker_post,response_post,reactions_level,rationales,explorations_level,interpretations_level,interpretations,reactions,explorations
190,5zfnq7,dexpjft,I feel so empty.... and I don't know what to do...,"What would you like to do? Hugs, hope things become better for you soon! :)",2,"Hugs, hope things become better for you soon! :)|",2,0,1,1,1
191,9jr5g9,e6tu3w8,Does anyone else get a kind of restless anxiety? How do you deal with it?. One aspect of my depression seems to be an inability to sit down and focus on anything. I have a constant level of anxiety and A short attention span. My interest in things dies very quickly. Has anyone dealt with this and found a way around it?,"When I watch films.Unable to concentrate on anything else,almost unable to take rest.",0,,0,2,0,0,0
192,537kzt,d7qp6vk,my dad hits me. and he took away my xbox,Could you call child protective services?,0,,2,0,0,0,0
193,ap7c4c,egi89r2,I don't want to fail everyone I know.. Too bad. You did. ( future self ),Your friends probably know what going through and can help you. discourage help that you know you can get if you need to talk to someone then tell them. I know it can get hard and I hope your Day the worst.,0,,0,0,0,0,0
194,4ruq3i,d54ik50,My disabilities destroyed my life.. There's nothing I can do about it.,:( Are you on disability at all?,0,,2,0,0,1,1
195,9ky75u,e73qt0s,"One of the cruelest things I’ve learned is that it’s not my face that’s ugly, but my personality.. Seriously. *Who I am* is ugly.",You're lucky then. I'm just ugly.,0,,0,0,0,0,0
196,8ipepn,dytna7e,What do you want to be when you grow up.. Dead. I don't know what to do with my life or what I truly love when all I really want is to not exist.,Dead but what does fully grown up mean? I have my own house and a job etc. Am I fully grown up now?,0,,0,0,0,0,0
197,5t2a3a,ddjtgkq,Hey. I'm trying to find people to add on either PS4 or Xbox one I know this is a deppresion group and this is related to how my deppresion affects me I'd like to find decent friends on there for those who have it I'm happy to explain if Need be,"Sorry man, PC masterrace here. Hope you'll spruce up your friend list nicely.",2,Sorry man|,0,0,0,0,0
198,4tq56t,d5jbok8,"Does anyone else have insomnia?. I notice that on my worse days (of course every day sucks but you get what I mean) I find it very hard to get to sleep, I was just wondering if this is something anyone else experiences.","No, that's what I'm doing and it isn't working.",0,,0,2,0,0,0
199,abtc0o,ed33cig,"I haven’t showered in five days and I’ve been eating so much junk and drinking so much fucking soda.. My depression is fucking winning right now, I have absolutely no energy to get out of bed, not having any happy thoughts, gaining weight and I stink terribly but I bring myself to get up and do anything about it I just want to give up.","I take baths all the time because it takes less energy than a shower and it feels good. And try just having a glass or two of water, the littlest things that can make the biggest difference. Good luck",0,,0,2,0,0,0
200,6m3598,djyip31,Whats the point. I make it a point to show other people friends i care about their artistic endeavors and i never get anything in return what is the fucking point. I cant tell anymore if its me thats screwed up or if i surround myself with assholes.,"Try not doing it to expect something in return. It feels really forced. I know you probably don't actually care, but pretend like you really do, with the mentality that you're doing this to make them feel better. It's gonna take some acting, but it has to be genuine.",0,,0,0,0,0,0
201,6gkpdp,dir2ilp,It could be only worse.. Life never gets better. Try to accept it.,Your foundation needs to fall down before you can start rebuilding. Have you started the plans the blueprint? List everything on a paper or make a note in your head what you need to do to make things better. I'm still rebuilding right now. But I don't have this dark ugly building that overshadowed me. Now I can start thinking what the fuck I need to do in order for my new building to be beautiful the way I want it. It'll take time but it's all worth it. Allow yourself to rebuild.,1,It'll take time but it's all worth it. Allow yourself to rebuild.|,0,2,2,1,0
202,8siua8,e0zt1c7,I'm just tired of being tired. What the title says. I'm just beat.,That makes me tired just hearing that. Feel free to message me if you want to vent. a good listener,1,Feel free to message me if you want to vent. a good listener|That makes me tired just hearing that|,0,0,1,1,0
203,7rmqzi,dsy41wd,I'm so ready to die. There is nothing for me in this life,"but how can you play sims when you're dead? jokes aside, don't do anything okay, calm down. life will bring beauty, hang on.",1,". life will bring beauty, hang on.|",2,0,1,1,0
204,47ovs3,d0irtkf,Woke up this morning. Off to a bad day already. I would never hurt myself but I do pray every night that I don't wake up. I accidentally saw a pic of my ex with a new guy and it hurts. We were suppose to move in together and ger married and everything. Fml x infinity,"Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man.",1,"Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man.|",0,0,0,1,0
205,aqskup,egib2xm,"I’m sorry I’m too depressing, don’t hate me.. I think I could blame you if you did though","I've felt obligated to say that to friends for so long. But a lot of them (the good, right ones) insist I don't. Because I've been there for them, they should never argue I'm too much for them if I do the same. Just know anyone who cares for you will help you.",0,,0,2,1,1,0
206,9bh63s,e5305ra,Bamboo. I bought a bamboo plant from my local chinese store a few years ago when I first started feeling depressed. To this day or is still alive. Just wanted to tell people that I feel proud I can keep something more alive than myself.,"I'm going to buy a few lemon plants and plant them in a cute Groot pot just for this reason. Btw, have you considered getting a pet? I don't like pets (bad childhood experience with wild dogs) so it's not for me, but generally people who like keeping a plant alive would love to have a happy, living pet around them",0,,2,2,0,0,0
207,a6l7d7,ebw3brs,"I am afraid that I will be spending Christmas entirely alone.. Title says it all. Working too much to have made plans, maybe it was partly intentional. Anyone else in a similar boat?",I am sort of in a similar boat. There are lots of people around me but it still feels like entirely alone. prepared to spend most wonderful time of the getting drunk everyday until school starts again. And then starting another draining semester.,0,,0,2,1,1,0
208,5pwf8u,dcudr7m,Apparently my options for dinner are chicken and dumplings or taco stuffed bell peppers.. So I don't care either way. I'm just gonna sob my eyes out then refuse to get out of bed tommorow. Kinda wish I was a little more assertive. But I'm not. Maybe people's be better off without me. But don't want to hurt anyone that might actually give a shit. And whenever I try to eat food that doesn't make me hate my life my family acts like its the end of the world for me to not participate in being a monster. Ugh. Sorry. Just feel like crap.,It seemed like you're upset because the only dinner options are meat?,0,,2,0,0,0,1
209,6nyv8u,dkde6ch,"Kinda hope I dont wake up tomorrow. Had a fight with a friend, i was a dick.. now i cant escape this shit feeling no matter what i do. She thinks its her fault and i dunno what to do so i wanna die",Can you reach out to her and tell the same thing to her that you told here right now? I think it could help you. And her.,0,,2,0,0,1,1
210,71nl5e,dnc4ov3,Fuck all this.. Fuck this shit. I don't even care anymore.,Same here man. at the point where all I can say is fuck life,0,,0,2,0,0,0
211,6f7nod,digotbd,Man it feels good being a non-functional member in society with no sort of social skills what so ever :^). still planning to kill myself before 30 :))),ugh let's have some pizza.together,0,,0,0,0,0,0
212,61par0,dfgfa4q,When was the last time.... Someone gave you a hug?,"If you don't count my mother or family members, about 3 years.",0,,0,2,0,0,1
213,6ebw3e,di9iees,"I thought about paying an escort just to have a conversation. It's a good idea, don't even lie","Whaddup Holden! Also that's what a therapist is for, they just don't dress as sexy and wont blow you while you cry",0,,0,0,0,0,0
214,6br444,dhpyawv,Emergency therapist. I can't find an emergency therapist...why is this hard?,Yeah. I think it's considered an emergency only if you are posing an immediate threat of suicide. You must be feeling as much pain as I have felt and so I feel bad for you and hope you find a way to feel better soon. Paul,1,I feel bad for you and hope you find a way to feel better soon. Paul|,0,0,1,2,1
215,5g64aa,dapsdkn,"I wish i had a partner. Someone to love, and to love me back. It would not solve everything, but it'd make me a lot happier. I know i know, i'm being a little bit entitled for this. But damn, it would be good to have a partner.","I know the feeling. I had a girlfriend until May of this year, and part of me regrets breaking up with her even though we weren't meant for each other. Part of me wants to be in a relationship, and the other part thinks it would be a terrible idea and that I should be alone for the rest of my life. Admittedly, it is partly just because I'm lonely, which isn't a great thing for me to build a relationship on.",0,,0,2,2,1,1
216,7g7c4z,dqh5k2h,What if depressed people are the sane ones?. I think some people don't care about nothing in this life because they're conscious that nothing really matters and they are the ones who can see the real mediocrity that is the world. (Sorry for the grammar I'm italian),"There are actually some studies that support this: depressed people are more likely to correctly assess probabilities and risk/reward in many situations. However, we also have documentable thought process issues, the primary being black and white thinking, all-or-nothing. So I don't think we get to claim to be the sane ones. ;)",0,,0,0,0,0,0
217,7i9p0y,dqx4tac,Can somebody tell me it'll be okay?. That I'm doing fine? That I don't have to be perfect and that I haven't really done anything wrong?,"Of course you don't have to be perfect. As long as you're doing your best, that's all you can do. Everyone makes mistakes, no one is perfect. Hang in there bud.",1,Hang in there bud.|,0,0,1,1,0
218,59kyhs,d99arst,How do I tell someone that comments like cheer up aren't helpful?. I don't want to come off rude or anything. The seems that the person cares about me. I don't want to say anything mean to them or hurt them. I just want them to know that those comments really aren't helpful.,"Tell them that you appreciate their support, but feel that you aren't sure if cheering up will help in your situation. They'll understand.",1,"Tell them that you appreciate their support, but feel that you aren't sure if|",0,0,0,1,0
219,al9504,efbylkc,it feels rlly good knowing everyone will be able to continue w/out me. peep me hanging on a noose by the spring time,Whats going on why do you think things would be better without you or why does it make you feel better to think that you will not be around anymore?,0,,2,0,0,0,2
220,9b70j5,e50uepj,"If famous/motivated/successful people still get depressed and kill themselves, what fucking chance do I have?. I'm literally not good at anything.","50/50, because poor/beaten/destitute people still can live happy and fulfilling lives. Keep faith.",1,Keep faith.|,0,0,0,1,0
221,83fr3i,dvhjh10,"Someone to chat with. Hey there- I'm going through some rough times lately. Looking for someone to chat with, 26M if that should matter.","DM me anytime, my dude.",1,"DM me anytime, my dude.|",0,0,0,0,0
222,akifiq,ef532d6,"I miss my bf so much it hurts, he was the only one who made me happy.. Now I do anything about it.",how did the relationship end,0,,2,0,0,0,1
223,6xrpju,dmi5moe,i dont want to die. i dont want to be nuked. i dont want to go to war. i dont know what to do with these feelings. every night i have anxiety attacks thinking about everything thats happening and its too much. i dont know what to do anymore. i can't keep ignoring everything.,I think you should try to get a therapist to open up about what you're going through. opening up to someone that you trust can also help you because bottling up your feelings will just worsen your emotional state,0,,0,0,0,1,0
224,784d64,doqyzoj,"Is it stupid to seek a therapist, even thought you have a gut feeling you are going to kill yourself anyways?. I know it's stupid. I just want to hear what you guys think.","no, never. seeking a therapist is supposed to help you stop thinking like that. i think its good to seek a therapist, especially if you're highly suicidal.",1,"no, never. seeking a therapist is supposed to help you stop thinking like that. i think its good to seek a therapist, especially if you're highly suicidal.|",0,0,1,1,0
225,8o55z8,e010t64,"Why do I want to feel sad?. I have been doing better with managing my suicidal thoughts, but now I gained some sort of longing for them and the feelings attached to them to return. Trying to understand why.",It might be because it's all we've ever known and were scared that anything else will be worse,0,,0,0,1,1,1
226,8qsu74,e0lrogg,Hobbies. I need to come up with some hobbies that can substitute drinking and drugs for me. Everytime I start something it seem fulfilling and a waste. I also hate doing things alone but I have developed serious social anxiety over the years. I know!!,"Do you like art? Reading? Movies? Things like that. With the job and time restraint, have you thought about possibly making a schedule for yourself so you can find time to do group activities? Edit: Also, with the drinking and drugs, do you have time for that or is that during work hours?",0,,2,0,0,0,1
227,71g1s5,dnai6tf,School is stressing me the fuck out. Makes everything feel so pointless,I feel the same fuck school,0,,0,2,0,1,0
228,9f0jbu,e5t02dc,zero motivation. go to classes the last two times i see the point anymore in fact i see the point in anything anymore i just wanna be here,"I know exactly how you feel. I can't get myself to study or do any work. Sometimes it really makes me worry about my future, and other times I think Am I even planning on staying here that long?",0,,0,2,2,1,0
229,9pzw22,e85u8jx,"Circle of my life. I'm depressed and fat, so I eat to feel better. Which then makes me more fat and depressed. It's a never-ending cycle. I hate myself.","Same thing happened to me. I used to work for my uncle as a dish washer in a banquet style setting. I didn't do this out of depression but I hate wasting food (a trait I acquired from my grandfather) and lots of food was always being thrown out so guess what I would do? I would eat that delicious food all the time. I gained some 80 or so lbs in about 5 years. Went from 130 to 205. I quit that job about 7 years ago and have since lost most of the weight. I am currently 125 and still trying to get rid of the gut. &amp;#x200B; Go to the gym, eat better, and please please please don't give up on yourself.",1,please please please don't give up on yourself.|,0,2,2,1,0
230,6hpr6j,dj0h4o3,"Yesterday my dog died, not sure how to move on.... Yesterday my dog passed away, i just feel empty as hell, not sure what to do, it's quiet without him, he was my best friend.","I'm so sorry you're going through this.. My dog passed away two months ago so I know how painful it is :( I adopted another dog, I was still upset but it definitely helped me with the grieving process.",2,I'm so sorry you're going through this|,0,2,2,2,1
231,424dis,cz7j4dv,That moment when you realize. you're cold on the inside.,I get where you are coming from. I don't feel cold. I feel hollow and my insides are black.,0,,0,2,1,1,0
232,5nsdwn,dcdx1kl,How do you know if you have depression?. I think I have clinical depression and social anxiety. I really don't want to see a therapist until I have things mostly confirmed.,"If you think you have it, you probably do. If you see a therapist they'll give you pretty much the same questionnaire that you can find online. I recommend seeing a therapist soon. The diagnosis isn't really important, if your mental health is affecting your ability to live a normal, happy life, then you need to see someone. Good luck.",0,,0,0,0,1,0
233,ahkzpu,eegqnkk,Most of my life has been me chasing highs and lows just to feel something. Anything to stop feeling numb,"if you need someone to talk to, you can add my snap emma.xlea i know music wont help this feeling, but i recommend high highs to low lows by lolo zouai. it helps me feel a little bit more refreshed.",1,"if you need someone to talk to, you can add my snap|",0,2,1,1,0
234,6eztq9,dieepi5,"I want to die.. I want to OD in my sleep or put a bullet through the side of my head, it's just so hard to live I don't know how other people do it.","That solves nothing and will hurt your loved ones to no end. The road to recovery takes a long time and is so much hard work, but when you get there everything will change. Seeing a doctor and getting antidepressants is the first step. The second step is finding something, ANYTHING, to get out of bed for. For me it was my cat. I would go without eating for days because I didn't want to leave my house, and I didn't want a delivery man to see the state of my house and myself. When my cat ran out of food I would suck it up and go to the store so he wouldn't be hungry. When he curled up with me I felt good, at a time that nothing else felt good. He passed a few months ago, but he flat out saved my life and I'm constantly grateful. Life can be overwhelming, especially when you feel the way you do. But you can make it better. Don't be afraid to ask for help.",1,"Life can be overwhelming, especially when you feel the way you do. But you can make it better. Don't be afraid to ask for help.|",0,2,2,2,0
235,8v6wug,e1l0sjl,Feel like nobody likes me. I have had this feeling for a large part of my life. I try to bring myself out of it but I always end back to thinking this. Anybody have any advice to combat this?,Sorry to hear you have felt this way for so long. Some more background would be helpful. Were you ever bullied? Do you have a circle of friends?,2,Sorry to hear you have felt this way for so long.|,2,0,1,1,2
236,8fhtjt,dy4kwcf,Does living at home make anyone else’s depression 63939395 times worse. I just feel like a little kid and a loser,yeah :/ my parents make me anxious to the point where i wont get food and water because i'm afraid of running into them. glad to be moving out,0,,0,2,2,1,0
237,3vacmu,cxmd6m7,"Watching my favourite tv shows/movies feels so exhausting.. Whenever I watch them I feel so exhausted and bored, even though I really love them. I lost interest in doing my favourite things and it hurts so bad.",Thank you. This is the first time I have been able to really associate my exhaustion with watching television or movies. I also hate it when I have to feign interest watching things sometimes - it gets to where I feel physical pain from the effort of looking engaged.,0,,0,2,2,1,0
238,78ucly,dowz94z,Ugly af. Being a solid 3.5 and having a thing for 10s is tough,"Everybody has a thing for 10s tho, numeral ratings for people are dumb anyways. If you get to know people you can develop feelings for them not only based on physical appearance or even find out after all they're not that attractive in the end. Granted it plays a huge part initially and people who say otherwise are hypocrits but yeah it doesn't just stop there. But still, I am ugly and I hate myself haha",0,,0,0,1,1,0
239,86rfig,dw8m419,"Does anyone else get the feeling that everyone around you is living a fuller, happier, more complex life full of promise?. Everyone around me seems to be doing better; like happier, like they know something I or figured it out. I know everyone has their own problems, but everyone else overcomes theirs. I feel stuck; even when I make progress I feel slow, like behind everyone.","Well, if you looked at how those people spend their time. It would probably be very different than how you spend your time. So it kind of makes sense that they would have different results and resulting feelings about their life since their life is so different. But the good news is, you can have a happy, fuller life too. What you should do is list out the top five things you don't like about your life. Then you should spend some time working on the one that is bothering you the most. In my experience, when I was unhappy with my life it was because I was neglecting some part of my life that was really nagging me. Rooting for you! Hope this helps.",1,Rooting for you! Hope this helps.|,0,2,1,1,0
240,47nm79,d0eacce,"Maybe suicide is the answer. People say it gets better. Well, for the past four years its been getting worse. What's the point of living if there's nothing worth living for? I'm thinking of finally going through with this.",I promise it's not the answer. You're at a low point right now. Things will get better you really just have to wait. Call +18002738255 if you feel really bad. Do you see a therapist?,1,Things will get better you really just have to wait|Call +18002738255 if you feel really bad|,2,0,0,1,1
241,7hvmne,dqugpc1,"I don’t think people love me. They love versions of me I have spun for them, versions of me they have construed in their minds. The easy versions of me, the easy parts of me to love.. But no one will ever love me",What really gets me is I feel like no matter how good friends or how much someone loves you they use you something and if they using you for something they associating with you.,0,,0,0,0,0,0
242,3z0e0s,cyj2mnx,"I may be a hot mess, but at least I'm hot. The optimistic look at having Anxiety and Depression",in that case i'm a cold mess.,0,,0,2,0,0,0
243,a3phop,eb91cin,"Do you ever feel like running away?. Do you ever just feel like running away somewhere far away, move to another city or country, changing your whole identity, exploring new things, finding new opportunities and meeting new people. Just leave this life behind and start a new one.",I have many times i have made plans and let them go i want to try agean just to get away from it all i just want to hop on a train and go whare it goes and maby be hapy for once in a long time sorry for bad gramer and bad spelling,0,,0,2,2,1,1
244,6oxjyn,dkkyyv8,"Anyone else spend countless hours searching for the perfect chatgroup?. I drift in between communities when I'm lonely and somehow, the next one might be 'the one', where I get loads of friends... If anybody knows of one pls let me know","I'd like to be in a chat group to get to know people with different experiences of depression, but I don't know of any.",0,,0,0,0,0,0
245,5ods3n,dcj89x5,At the end of the day nobody really gives a shit.. I feel so fucking alone.,So fucking true... Nobody does.,1,So fucking true... Nobody does.|,0,0,0,0,0
246,855jb1,dvuuq4n,Sleep is my only way to escape the pain and emptiness and I can't even do that.. I'm so tired. Body and soul.,Same at the moment. But realized that the way to deal so we can truly escape the pain and emptiness is by dealing with it. We want to ignore our pain so we have to deal with it but that never works out. So deal with our problems head on and TRULY acknowledge them. Of course the hard way to go because going to hurt so much but after that process we will be free of our pain. We really escape the pain by going through it.,0,,0,2,1,1,0
247,7mm30t,drv7c5t,NYE 2018. I hope I'm dead before 2018 begins.,"I know, we all hope for that but at the same time we all hope for better days. Maybe they're coming maybe not. But please don't do anything permanent. If you ever want to talk i'm here almost all the time.",1,But please don't do anything permanent. If you ever want to talk i'm here almost all the time.|,0,0,1,1,0
248,9izscx,e6nntse,"We'd be 15 today. I miss my wife, terribly. That is all.",so sorry my friend. I hope found something or someone to help you fill a part of that void.,2,so sorry my friend.|I hope found something or someone to help you fill a part of that void.|,0,0,1,1,0
249,8wxyee,e1zb67t,"When you wanna OD but there’s just too much going on. I had plans to attempt an overdose tonight, but then i forgot i had to work in the morning... My birthday is coming up... i have a vacation this weekend... ugh guess have to reschedule",why do you want to OD?,0,,2,0,0,0,1
250,55kkc7,d8bd23m,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa. holy shit I'm a fucking mess,"I almost broke down crying just then for literally no reason. All of a sudden I started feeling anxiety - had to get up and walk around, knot in my chest, felt like a panic. Was super fucking close to texting my ex, only reason I didn't is because i know it would make me feel fucking shittier",0,,0,2,2,2,2
251,auo0t4,eh9cb6a,"My parents wont allow me to sick medical assistance because they think my depression is bs. Title. I'm 16, got no money. What to do?","Ask your school counselor what resources they can give you. Just go into the office, ask for the counselor, and see what they've got.",0,,0,0,0,0,0
252,7wiknq,du0mkc2,God being alone sucks. not just taking about being single. Actually living alone... :/,"Maybe you can find a room mate or something ? Idk what type of housing you live in (e.g. apt., house, renting, etc.) but that may help cut monthly expenses in some way too if that's something you're looking for. Maybe get a pet if your housing accommodations allow it. Pets really help with loneliness and depression sometimes. People can even actually get their pets registered as official emotional assistance animals. In some cases, they will be allowed to live in certain housing areas in which pets would otherwise not be allowed. Sometimes it's easy to focus on the negative of living alone. But there are tons of good things about it as well. You just gotta look towards those as well.",1,Sometimes it's easy to focus on the negative of living alone. But there are tons of good things about it as well. You just gotta look towards those as well.|,2,0,0,1,0
253,7g4yaz,dqgryr0,The prospect of spending New Years alone again scares me.. 5 out of the last 6 years I've spent New Year's eve alone at home in bed watching everyone else enjoy themselves on social media. I have no friends nor social life and it hurts :(. I don't want to be alone agin.,Last new years was my first one alone. I looked outside the window and saw people hugging eachother and laughing. My heart dropped through my asshole.,0,,0,2,2,2,0
254,718wyg,dn8zp42,Heroin feels like an option sometimes. I'm just done with normalcy,you ever done opiates before?,0,,2,0,0,0,1
255,3zfhlm,cyln9bx,"Okay, I'm going to do it. Today, I'm gonna ask for help.. Sorry in advance, Elliot. Everyone else, wish me luck :)","That's great OP, the first step in overcoming the depression and the shitty feelings is being ready to ask for help. Talking can be very helpful and sometimes it feels good to let your feelings out. How are you doing today?",1,That's great OP|,1,0,1,1,1
256,4td27d,d5hu761,"What music do you listen to when you are feeling down?. For me, I listen to a band called Counterparts and Hotel Books.","New Order, Elliott Smith, Joy Division",0,,0,0,0,0,0
257,59rpxl,d9bd1cd,"I'm depressed because my life just sucks. I can't fully explain it the deeper feelings of this. It feels so angering and simultaneously numbing that I have such a shitty life, but no one cares and no one gets it. True empathy is a rare trait.","I think everyone's life is shitty, we're just the ones who are aware of and can't stop obsessing over it.",0,,0,0,0,0,0
258,7iu1d7,dr2ee5z,2017 has been my worst year. Without a better future in sight either :)),Each year just keeps getting worse haha please end me,0,,0,2,0,0,0
259,9zi48r,ea9isu6,"Feeling guilty about living. I feel guilty whenever my parents fight each other, like it's my fault for being born; I feel as if I've given them nothing but trouble from the beginning. I don't ask for almost anything at all either, because then I'd feel like even more of a burden.",Is your family having money trouble?,0,,2,0,0,0,1
260,7wuvq8,du3bra8,I am really sorry that I’m such a shut-in. I just know how to stop.,I don't know how to stop either. My negative thoughts are with me all the time.,0,,0,2,1,0,0
261,a100hx,ealyetr,Yeet yeet. I'm gonna hang myself with the charger,I will make it possible,0,,0,0,0,0,0
262,975psd,e45ug5y,I dont deserve you.. I really don't deserve you in my life. My girlfriend deserves better. She has dealt with all my problems for the months we've been together and still deals with it. I really don't deserve that. :/,"This actually sounds like me yesterday but with my boyfriend. Ended up talking to him and seeing how much he loves me despite all this really made me feel loved. Just like how my bf is, I believe your gf loves you for who you are. sell yourself short! The fact that you are trudging throng life despite fighting depression shows how strong of a person you are mentally~",1,The fact that you are trudging throng life despite fighting depression shows how strong of a person you are mentally~|,0,2,2,2,0
263,5g5zqe,daqtk4x,"Fake it till you make it. I feel like if you do this for too long, you'll forget what real feelings are like.","Yeah that's the idea behind it, you basically just condition yourself like a dog. Fuck that",0,,0,0,0,0,0
264,7xxygp,duc1axi,Always alone. No friends. Nobody on my phone I can call. I want to cry. I wish I was like evrybody else. Anything but me.,What kind of things interest you?,0,,2,0,0,0,1
265,9nhfg6,e7mfbpp,I just found out that my friends are having a house party on Saturday and I'm not invited. I feel both stabbed in the back and in the heart at the same time. Feeling like absolute fucking garbage right now. Have I mentioned I don't have any other friends?,That's mean of them. Have you asked why you were not invited?,0,,2,0,0,0,1
266,55njts,d8c3e1d,"Ex came back.... I want to go back, I want to feel cared about, but I don't want to be hurt again","My word of advice is just, be careful. If you genuinely feel like you can make it work again, then go for it, but if there's that doubt or feeling that you're going to get hurt again, it might be best to step away. Sometimes you can get back with an ex and it all goes well, but when it doesn't they can get in your head lay their eggs and just dominate every moment of thought. Look at your options and determine what the best result will be for yourself",0,,0,0,1,1,0
267,92534g,e3430vg,"Staring at a sharp object at work, scared of my thoughts. I'm staring at a sharp bladed object at my work and since I;m left alone for it I'm considering doing something stupid, I'm really scared, help",What makes you feel this way?,0,,2,0,0,0,1
268,3zbq8e,cykvlsj,I'm to scared to commit suicide.. All I can feel is pain. Nothing matters to me anymore and life is a miserable struggle. I don't want to live anymore but I can't bring my self to commit suicide. I'm scared of missing out on a potentially better life. Please help,"I probably would have considered bringing harm to myself and others if not for writing. Do you write? I find it helpful to seal away any self-detrimental desires inside characters who are not me. If you purge all of your thoughts out of your head and onto the page, you might find some relief. Literature is one of the most important inventions for resolving issues and you may find purpose through writing for yourself. My life is not pleasant by any means so I created the life that I want in my writing. My life became better through writing. What ideas and notions could be lost if you left us so soon? What adventures could you go on in your own book? Think of all the memories that could be shared. You could even write about a role-model. Mine is Typhon, the Greek dragon under the mountain. I obsess over this mad titan to keep myself calm. He shows up in all of my work. My advice would be to pound that pain out into a character, a mighty simulacrum, an indestructible artifact to contain your every fear. I'm not sure if I'm phrasing this well enough to help, but this is the only way I know how to express myself.",0,,2,2,2,0,0
269,675g4v,dgntpwp,Are there any methods to coping with depression and suicidal thoughts that actually works?. Emotional support does nothing for me yet I see it everywhere. I think many of us need some real help,"Depression isn't something you can get rid of by wishing it away or telling someone you have it. A lot like an addiction you have to fight to get out of it. And it's hard to tell what path is right or wrong. Talking to people does help. But you need to find someone you can talk to. I couldn't talk to my mom for the life of me, my sister would tell my mom or tell me I was wrong, my dad just gave me a look and didn't know what to say besides he cares about me. Once my mom knew the extent of my depression she became better at helping me. She listened and didn't judge. She let me talk and told didn't lecture but reassured my decisions. She went out of her way to make me feel more confident. That's the person you need to find. Also try writing your feeling down whatever you feel on a peace of paper what ever is on your mind. Write it in chicken scratch don't worry about how ty write just write what you feel. Then throw the paper away. That used to help me, not as much as my mom did but I did help. Life isn't something we can live alone although a lot of us want to, I wish I could, find someone to confide in that supports you.",0,,0,2,2,1,0
270,593joa,d95dbna,It's a pattern!. How do I break it?,"I suppose it depends on how deep the pattern is, something that help some people is to use a calendar and write down things to do during which hours everyday in advance and try to force yourself to not break the schedule. Doesn't work for me but i know that it works for some people. The most important part i'd say is to find a goal to strive towards.",0,,0,2,1,0,0
271,7cz467,dpudyu2,"Friendless, jobless, skillless, useless... Anyone in the same boat?","You are not useless. I used to think the same, but I have always been good at writing and research. I decided to start freelancing my services, and I do quite well for myself. It's no replacement to a full time job just yet, but I really enjoy the freedom and receiving positive client feedback. Everyone has something to offer, just have to make a start..",1,You are not useless|,0,2,2,1,0
272,a3x9u2,eba7jit,Holy hell why cant I sleep?!. I just started taking Zoloft a few days ago and since then I can not fucking fall asleep. I'm not an idiot I know it's a side effect but shit this is annoying. I have school in the morning,"been taking Zoloft for a few days and it made me more sleepy then ever. Today I only took half a dose (25mg instead of 50) and I feel less drowsy, but worse.",0,,0,2,1,0,0
273,64zvft,dg6h3f5,"How much pain can one person handle?. Mental pain, I mean. I'm in so much pain everyday and I just can't kill myself. I've tried and I can't do it. There's no escape. Am I just going to break down and go crazy because my mind can't deal with the pain anymore?","That is an interesting thought, i have pondered upon as well. Much bad shit has been and continues to be yet my mind has not broken. I always expected that at somepoint my mind will break and ill end up like say the Joker or then just a grazy person with no understanding of his surroundings. Would be nice even.",0,,0,2,0,0,0
274,ag4bih,ee3jy0h,"Trigger word that cause emotional breakdown?. I sometimes breakdown when someone questions me about the family or people close to me, which I don't have. I'm reminded of how much I longed for someone to understand me and also the loneliness and depression I hide everyday behind a cheerful personality.",Hostage. Refer to the people who ghosted me as hostages or say they were justified. Accuse me of not trying or blame me for my circumstance.,0,,0,2,0,0,0
275,8iyti5,dywrizh,"What do you do to feel alive?. I vary from cutting myself, drinking and doing drugs to exercise, strict diet and hard work.","Chemically using calcium hydroxide. easy to go overboard, though. I have on several instances burned so deeply it destroyed nerve cut too, but generally stick with burns.",0,,0,2,0,0,0
276,7agt1x,dpa4oup,I hate when people tell me to meditate. My depression won't go away if I meditate. It won't get better with fucking breathing. Mindfulness doesn't cure this.,"Meditation helps to rewire the brain... it's how I've stayed med free with bipolar. Your brain starts to go for relaxation and calm instead of a default down feeling or thought. But you have to keep doing it over and over, even when it feels like it's not working. It's not for everyone though! Mindfulness is a way of moving through life slowly for Me, finding little bits of joy in the smallest things like making and drinking a drink. This is what got me out of bed in my darkest days...",0,,0,2,2,1,0
277,81vr53,dv66dt8,"Anyone else in college with zero friends. Please no bullshit about putting myself out there and all that nonsense. I do. I try. It's just hard when u are depressed, work 40 and then just have nothing to say idk","Not in college, maybe never will be, but at this point I'm not even bothered about being alone, in fact I relish it.",0,,0,2,0,0,0
278,a8oexk,ecces10,"Natural products to improve mood. Hi, Any sugestions on natural products to improve mood? I just need to be more happy and positive. Thanks",like what . eat bananas i heard it can make the person little happy,0,,0,0,0,0,0
